name,location,start_date,end_date
燭龍現身臺北天文館！端午連假別錯過神話與科學的奇幻旅程,"25.0958,121.518",2025-05-30,2025-06-01
2025臺北文學館籌備處「想像一間 #______文學館」展覽今日開展 邀您一起填空文學館的想像關鍵字！,"25.0158,121.527",2025-05-28,2025-07-20
士林好神！2025再出發：打造文化共感X永續生活圈 手作體驗日、走透透影片、福運抽獎接力開跑,"25.0978,121.526",2025-05-23,2025-07-31
此身，未竟之境 BODY–Where we are at,"25.0539,121.508",2025-05-22,2025-06-22
「那天，我掉進了兔子洞」 2025後生文學獎徵文活動熱烈進行中,"25.0345,121.543",2025-05-20,2025-08-31
《平衡的輪廓》李芷筠 張舫少芹 雙個展,"25.0468,121.556",2025-05-16,2025-06-28
五月臺北花博農民市集 溫馨五月情 禮親情意濃,"25.0708,121.521",2025-05-10,2025-06-01
榮枯盛衰-堉泉個展  Wax and Wane - Yu Chuan Solo Exhibition,"25.0388,121.524",2025-05-10,2025-07-04
羅智信：番茄種子通過身體發芽,"25.0466,121.549",2025-05-03,2025-07-19
「你來顧著火吧」——以傳家寶串聯臺灣原住民族文化記憶，凱達格蘭文化館全新特展即將登場！,"25.1371,121.506",2025-04-25,2025-08-03
蔡瑜 創作個展【凝望•日常幻景】Tsai Yu Solo Exhibition: Gazing Into the Daily Mirage,"25.0674,121.519",2025-04-15,2025-06-01
林恩崙 創作個展 【Kick the Can to the Playground】,"25.0674,121.519",2025-04-15,2025-06-01
游智涵 創作個展【精神時光屋】 Yu Chih-Han Solo Exhibition: Room of Spirit and Time,"25.0674,121.519",2025-04-15,2025-06-01
2025松山文創學園祭 逐光啟程：Highlight,"25.0438,121.561",2025-04-09,2025-06-17
北市圖萬興分館「四季讀書樂」系列主題書展伴您隨著季節的節奏 享受閱讀的樂趣,"24.9887,121.577",2025-02-14,2025-12-15
郵政博物館臺北館「幸福滋味－美食郵票特展」,"25.0468,121.511",2025-01-11,2025-06-29
bulabulay原民之耀特展-臺灣原住民族經典文物聯展暨巡迴展,"25.0178,121.535",2024-11-15,2025-07-31
