商圈,區,商圈類型,商圈分類
新北投溫泉(商圈),北投區,以溫泉業、餐飲業為主,觀光休閒
行義路溫泉美食(商圈),北投區,溫泉、餐飲,觀光休閒
石牌捷運(商圈),北投區,餐飲、日常生活用品,生活機能型
士林捷運站周邊,士林區,餐飲、服飾、日用品、家飾、喜餅,美食商圈
士林觀光夜市(商圈),士林區,以餐飲小吃、服飾為主,美食商圈
天母(商圈),士林區,餐飲、手工創意商品、百貨,美食商圈
承德路中古汽車(商圈),士林區,以二手汽車買賣為主,其他
蘭雅(商圈),士林區,餐飲小吃、文青咖啡、生活百貨,生活機能型
朝陽服飾材料(商圈),大同區,以服飾配件、材料批發為主,日常消費型
迪化街(商圈),大同區,南北貨、中藥、茶、布料產業,其他
後站(商圈),大同區,以精品服飾、配件飾品批發零售為主,日常消費型
華陰街(商圈),大同區,精品服飾、配件飾品批發零售,日常消費型
大龍峒(商圈),大同區,以中醫、茶莊及香鋪為主,其他
臺北大橋頭延三(商圈),大同區,夜市、餐飲小吃、機車業,觀光夜市
寧夏夜市(商圈),大同區,以夜市、餐飲小吃為主,觀光夜市
圓山(商圈),大同區,餐飲小吃,美食商圈
赤峰街 (商圈),大同區,咖啡店、服飾店、文創藝術特色小店及五金與汽車零件,日常消費型
愛國東路婚紗(商圈),中正區,婚紗攝影,其他
沅陵街(商圈),中正區,以皮鞋、服飾為主,日常消費型
中華路影音(商圈),中正區,以影音電器為主,其他
北門相機(商圈),中正區,影音電器、攝影設備、餐飲,美食商圈
重慶南路書店(商圈),中正區,補習業、餐飲小吃、文具、網路咖啡,美食商圈
南昌家具(商圈),中正區,家具家飾業,其他
大光華(商圈),中正區,以電腦、電腦周邊、數位相機及3C科技產品為主,其他
臺大公館(商圈),中正區,以異國小吃、餐館、運動用品店、手機電訊及咖啡小店為主,其他
榮町(商圈),中正區,以咖啡廳、文創小店、特色餐廳、才藝班及補習班為主,其他
萬華街區(商圈),萬華區,以百年老店、小吃美食為大宗,其他
艋舺(商圈),萬華區,餐飲小吃、服飾、青草店、佛具店,美食商圈
艋舺夜市(商圈),萬華區,以夜市小吃為主,觀光夜市
西門町(商圈),萬華區,以青少年服飾、異國服飾、美容美髮、餐飲小吃、視聽影音為主,美食商圈
和平西路鳥鋪聚集區,萬華區,鳥禽、寵物用品批發零售,其他
晴光(商圈),中山區,以餐飲小吃為主,美食商圈
四平陽光(商圈),中山區,生活用品、精品服飾、餐飲小吃,生活機能型
中山北路婚紗(商圈),中山區,以國際時尚精品、婚紗店為主,其他
晶華酒店、欣欣百貨周邊,中山區,百貨、精品街、飯店,其他
條通(商圈),中山區,會員制酒店、燒烤、居酒屋,其他
中山捷運站周邊,中山區,設計服飾精品、美髮Salon、餐飲美食,美食商圈
吉林路美食,中山區,養生推拿、命理諮詢、餐飲小吃,美食商圈
中山國中捷運站周邊,中山區,各國美食料理,其他
民族濱江汽車,中山區,汽車買賣、汽車保養、汽車維修,其他
大直(商圈),中山區,購物中心、百貨量販、精品旅館、棒球及高爾夫球練習場、餐飲小吃、日常生活相關,生活機能型
東湖哈拉影城周邊,內湖區,餐飲、小吃、生活百貨,生活機能型
內湖量販店區,內湖區,量販店、家具賣場、汽車百貨,其他
內湖737(商圈),內湖區,以餐飲小吃為主,美食商圈
西湖(商圈),內湖區,以餐飲店、小吃及咖啡店為主,美食商圈
民權水族聚集區,松山區,水族寵物用品,其他
南京復興捷運站周邊,松山區,餐飲小吃、商務飯店、百貨量販,美食商圈
民生社區周邊,松山區,,其他
吳興街(商圈),信義區,傳統市場、餐飲店、醫療相關用品、飲品,美食商圈
五分埔(商圈),信義區,以服飾批發為主,日常消費型
信義計畫區百貨,信義區,大型百貨、影城,其他
永春捷運站周邊,信義區,餐飲、小吃、金融機構、傳統市集,美食商圈
東區(商圈),大安區,以服飾、百貨、特色餐廳及連鎖餐飲店為主,美食商圈
永康(商圈),大安區,以特色餐飲、古董藝品及服飾為主,美食商圈
建國南路藝品古玩,大安區,藝品古玩,其他
龍泉(商圈),大安區,以服飾配件、小吃攤販、特色咖啡店為主,日常消費型
文昌家具(商圈),大安區,以家具為主,其他
景美夜市周邊,文山區,早市以傳統市場、晚市以餐飲小吃、服飾為主,美食商圈
貓空(商圈),文山區,觀光茶園、簡餐、山產、茶坊,觀光夜市
萬芳(商圈),文山區,醫療用品、連鎖餐飲、日常生活用品、傳統小吃坊,生活機能型
南港車站CITYLINK周邊,南港區,餐飲、百貨量販、休閒,美食商圈
中國信託金融園區,南港區,餐廳會館、休閒,其他
至聖花博(商圈),大同區,藝文、親子遊憩,其他
加蚋(商圈),萬華區,餐飲小吃,美食商圈
